variant_name,source_kind,role,config_path,binary_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum,derive_build_sec,perft_sec,correctness_sec,total_sec,uci_smoke,uci_smoke_error,perft_pass,correctness_pass,screen_pass,derive_selected_count,perft_d1,perft_d2,perft_d3,perft_d4,perft_d5
phase1_minimax,control,worst_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/phase1_minimax,15,Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Quiescence Search|Threefold Repetition|UCI|Unmake Move,Bitboards,minimax,material_eval,low,Bitboards__minimax__material_eval,0.423,0.357,0.155,0.935,PASS,,PASS,PASS,PASS,15,20,400,8902,197281,4865609
phase2_10x12_ab_pvs_id,control,reference_random,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/phase2_10x12_ab_pvs_id,22,10x12 Board|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece-Square Tables|Principal Variation Search|Quiescence Search|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pvs_id,pst_eval,medium,10x12 Board__pvs_id__pst_eval,0.418,0.232,0.011,0.66,PASS,,PASS,PASS,PASS,22,20,400,8902,197281,4865609
phase3_full_eval,control,best_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/phase3_full_eval,37,Alpha-Beta|Bishop Pair|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Iterative Deepening|King Activity|King Pressure|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Quiescence Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pvs_id,rich_eval,high,Bitboards__pvs_id__rich_eval,0.507,0.266,0.014,0.787,PASS,,PASS,PASS,PASS,37,20,400,8902,197281,4865609
strong_variant_02,control,best_empirical,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/improved_variants/strong_variant_02.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/strong_variant_02,38,Alpha-Beta|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Isolated Pawn|Iterative Deepening|Killer Heuristic|King Pressure|King Shelter|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Passed Pawn|Piece-Square Tables|Principal Variation Search|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,high,Bitboards__pruning_full__rich_eval,0.555,0.249,0.062,0.866,PASS,,PASS,PASS,PASS,38,20,400,8902,197281,4865609
stratified_variant_01,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_01.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_01,24,Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Passed Pawn|Piece Lists|Piece-Square Tables|Quiescence Search|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,structural_eval,medium,Mailbox__minimax__structural_eval,0.457,0.23,0.011,0.697,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_02,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_02.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_02,24,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Iterative Deepening|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Razoring|Replacement Schemes|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,pruning_full,structural_eval,medium,Bitboards__pruning_full__structural_eval,0.48,0.274,0.059,0.812,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_03,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_03.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_03,28,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|King Shelter|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Negamax|Null Move Pruning|Piece Lists|Piece-Square Tables|Principal Variation Search|Pseudo-Legal Move Generation|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,10x12 Board,pruning_full,rich_eval,medium,10x12 Board__pruning_full__rich_eval,0.45,0.219,0.01,0.679,PASS,,PASS,PASS,PASS,28,20,400,8902,197281,4865609
stratified_variant_04,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_04.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_04,21,0x88|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Piece Lists|Piece-Square Tables|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,pst_eval,medium,0x88__minimax__pst_eval,0.459,0.219,0.01,0.687,PASS,,PASS,PASS,PASS,21,20,400,8902,197281,4865609
stratified_variant_05,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_05.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_05,23,10x12 Board|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|King Activity|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Piece Lists|Pseudo-Legal Move Generation|Razoring|Rook on Open File|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,10x12 Board,negamax,rich_eval,medium,10x12 Board__negamax__rich_eval,0.445,0.217,0.01,0.672,PASS,,PASS,PASS,PASS,23,20,400,8902,197281,4865609
stratified_variant_06,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_06.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_06,27,Alpha-Beta|Aspiration Windows|Bitboards|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|King Activity|King Shelter|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Negamax|Passed Pawn|Piece-Square Tables|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move,Bitboards,alpha_beta,rich_eval,medium,Bitboards__alpha_beta__rich_eval,0.53,0.284,0.06,0.874,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_07,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_07.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_07,21,10x12 Board|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Principal Variation Search|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,minimax,structural_eval,medium,10x12 Board__minimax__structural_eval,0.414,0.248,0.01,0.673,PASS,,PASS,PASS,PASS,21,20,400,8902,197281,4865609
stratified_variant_08,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_08.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_08,24,Bitboards|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Killer Heuristic|King Activity|Legal Move Generation|Magic Bitboards|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,negamax,rich_eval,medium,Bitboards__negamax__rich_eval,0.493,0.3,0.348,1.141,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_09,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_09.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_09,29,0x88|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Pawn Hash Table|Pondering|Quiescence Search|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval,0.491,0.245,0.012,0.748,PASS,,PASS,PASS,PASS,29,20,400,8902,197281,4865609
stratified_variant_10,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_10.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_10,26,Alpha-Beta|Bitboards|Castling|Connected Pawn|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Passed Pawn|Quiescence Search|Razoring|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,minimax,structural_eval,medium,Bitboards__minimax__structural_eval,0.476,23.059,0.013,23.548,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_11,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_11.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_11,34,Alpha-Beta|Aspiration Windows|Bishop Pair|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Isolated Pawn|Killer Heuristic|King Pressure|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Piece Lists|Piece-Square Tables|Pondering|Principal Variation Search|Quiescence Search|Razoring|Replacement Schemes|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,rich_eval,high,Mailbox__minimax__rich_eval,0.514,0.226,0.012,0.752,PASS,,PASS,PASS,PASS,34,20,400,8902,197281,4865609
stratified_variant_12,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_12.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_12,25,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Isolated Pawn|King Pressure|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Pseudo-Legal Move Generation|Razoring|Replacement Schemes|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,minimax,rich_eval,medium,Bitboards__minimax__rich_eval,0.456,0.246,0.011,0.714,PASS,,PASS,PASS,PASS,25,20,400,8902,197281,4865609
stratified_variant_13,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_13.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_13,28,Alpha-Beta|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|King Activity|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Principal Variation Search|Quiescence Search|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,Bitboards,pvs_id,rich_eval,medium,Bitboards__pvs_id__rich_eval,0.484,0.26,0.013,0.757,PASS,,PASS,PASS,PASS,28,20,400,8902,197281,4865609
stratified_variant_14,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_14.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_14,24,Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|History Heuristic|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,pruning_full,structural_eval,medium,Mailbox__pruning_full__structural_eval,0.429,0.269,0.01,0.708,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_15,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_15.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_15,26,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Iterative Deepening|King Activity|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Pawn Hash Table|Replacement Schemes|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,pruning_full,rich_eval,medium,Mailbox__pruning_full__rich_eval,0.438,0.222,0.01,0.67,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_16,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_16.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_16,22,Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|Legal Move Generation|Mailbox|Make Move|Mobility|Move Generation|Negamax|Pawn Hash Table|Quiescence Search|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,Mailbox,alpha_beta,rich_eval,medium,Mailbox__alpha_beta__rich_eval,0.429,0.229,0.032,0.691,PASS,,PASS,PASS,PASS,22,20,400,8902,197281,4865609
stratified_variant_17,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_17.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_17,27,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Null Move Pruning|Pawn Hash Table|Pondering|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.447,9.611,0.011,10.07,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_18,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_18.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_18,26,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Iterative Deepening|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,minimax,pst_eval,medium,Mailbox__minimax__pst_eval,0.442,0.218,0.01,0.669,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_19,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_19.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_19,32,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Isolated Pawn|King Activity|King Shelter|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Piece-Square Tables|Pondering|Quiescence Search|Razoring|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,minimax,rich_eval,high,10x12 Board__minimax__rich_eval,0.471,0.224,0.012,0.707,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
stratified_variant_20,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_20.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_20,27,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval,0.462,0.274,0.012,0.748,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_21,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_21.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_21,27,Alpha-Beta|Bitboards|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Piece Lists|Piece-Square Tables|Quiescence Search|Razoring|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move,Bitboards,alpha_beta,structural_eval,medium,Bitboards__alpha_beta__structural_eval,0.484,0.288,0.012,0.784,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_22,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_22.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_22,24,Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Iterative Deepening|King Pressure|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Piece-Square Tables|Pondering|Quiescence Search|Rook Semi-Open File|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Mailbox,negamax,rich_eval,medium,Mailbox__negamax__rich_eval,0.498,0.271,0.925,1.693,PASS,,PASS,PASS,PASS,24,20,400,8902,197281,4865609
stratified_variant_23,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_23.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_23,21,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Legal Move Generation|Mailbox|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Pondering|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,minimax,material_eval,medium,Mailbox__minimax__material_eval,0.447,0.22,0.01,0.677,PASS,,PASS,PASS,PASS,21,20,400,8902,197281,4865609
stratified_variant_24,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_24.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_24,32,Alpha-Beta|Bitboards|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Isolated Pawn|Killer Heuristic|King Activity|King Pressure|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Principal Variation Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,high,Bitboards__pruning_full__rich_eval,0.498,0.247,0.011,0.757,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
stratified_variant_25,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_25.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_25,22,Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Legal Move Generation|Mailbox|Make Move|Move Generation|Negamax|Opening Book|Piece-Square Tables|Pondering|Principal Variation Search|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,pvs_id,rich_eval,medium,Mailbox__pvs_id__rich_eval,0.473,0.206,0.011,0.69,PASS,,PASS,PASS,PASS,22,20,400,8902,197281,4865609
stratified_variant_26,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_26.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_26,25,0x88|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.426,0.232,0.137,0.795,PASS,,PASS,PASS,PASS,25,20,400,8902,197281,4865609
stratified_variant_27,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_27.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_27,25,10x12 Board|Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|King Activity|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Principal Variation Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,10x12 Board,pvs_id,rich_eval,medium,10x12 Board__pvs_id__rich_eval,0.45,0.25,0.011,0.711,PASS,,PASS,PASS,PASS,25,20,400,8902,197281,4865609
stratified_variant_28,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_28.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_28,27,0x88|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|UCI|Unmake Move,0x88,minimax,structural_eval,medium,0x88__minimax__structural_eval,0.465,0.273,0.01,0.748,PASS,,PASS,PASS,PASS,27,20,400,8902,197281,4865609
stratified_variant_29,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_29.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_29,26,Alpha-Beta|Aspiration Windows|Castling|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Negamax|Passed Pawn|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,Mailbox,alpha_beta,structural_eval,medium,Mailbox__alpha_beta__structural_eval,0.447,0.389,0.024,0.86,PASS,,PASS,PASS,PASS,26,20,400,8902,197281,4865609
stratified_variant_30,random_sample,sampled,outputs/stratified_variant_experiment_n100_regen/sample_configs/stratified_variant_30.json,outputs/stratified_variant_experiment_n100_regen/variant_bins/stratified_variant_30,32,0x88|Alpha-Beta|Bishop Pair|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|King Activity|King Pressure|King Shelter|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Pawn Hash Table|Piece Lists|Piece-Square Tables|Quiescence Search|Razoring|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,0x88,minimax,rich_eval,high,0x88__minimax__rich_eval,0.503,36.525,0.01,37.038,PASS,,PASS,PASS,PASS,32,20,400,8902,197281,4865609
