variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum,perft_sec,_perft_band,screen_pass,shortlist_reason
phase1_minimax,control,worst_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,15,Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Quiescence Search|Threefold Repetition|UCI|Unmake Move,Bitboards,minimax,material_eval,low,Bitboards__minimax__material_eval,0.378,,PASS,fixed_control
phase2_10x12_ab_pvs_id,control,reference_random,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,22,10x12 Board|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece-Square Tables|Principal Variation Search|Quiescence Search|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pvs_id,pst_eval,medium,10x12 Board__pvs_id__pst_eval,0.224,,PASS,fixed_control
phase3_full_eval,control,best_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,37,Alpha-Beta|Bishop Pair|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Iterative Deepening|King Activity|King Pressure|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Quiescence Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pvs_id,rich_eval,high,Bitboards__pvs_id__rich_eval,0.261,,PASS,fixed_control
strong_variant_02,control,best_empirical,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/improved_variants/strong_variant_02.json,38,Alpha-Beta|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Isolated Pawn|Iterative Deepening|Killer Heuristic|King Pressure|King Shelter|Late Move Reductions|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Passed Pawn|Piece-Square Tables|Principal Variation Search|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pruning_full,rich_eval,high,Bitboards__pruning_full__rich_eval,0.249,,PASS,fixed_control
stratified_variant_94,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_94.json,30,0x88|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Killer Heuristic|King Activity|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Passed Pawn|Piece Lists|Quiescence Search|Rook Semi-Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval,0.202,fast,PASS,stratified_fast
stratified_variant_62,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_62.json,21,0x88|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|Late Move Reductions|Legal Move Generation|Make Move|Mobility|Move Generation|Negamax|Piece Lists|Pondering|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval,0.225,mid,PASS,stratified_mid
stratified_variant_20,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_20.json,27,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece Lists|Rook on Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,alpha_beta,rich_eval,medium,0x88__alpha_beta__rich_eval,0.254,slow,PASS,stratified_slow
stratified_variant_04,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_04.json,21,0x88|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Piece Lists|Piece-Square Tables|Razoring|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,pst_eval,medium,0x88__minimax__pst_eval,0.216,fast,PASS,stratified_fast
stratified_variant_34,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_34.json,25,0x88|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Hash Move|Iterative Deepening|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Razoring|Replacement Schemes|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,minimax,pst_eval,medium,0x88__minimax__pst_eval,0.224,mid,PASS,stratified_mid
stratified_variant_66,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_66.json,27,0x88|Alpha-Beta|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|Killer Heuristic|King Activity|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Opening Book|Pondering|Principal Variation Search|Replacement Schemes|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,rich_eval,medium,0x88__minimax__rich_eval,0.208,fast,PASS,stratified_fast
stratified_variant_49,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_49.json,33,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Isolated Pawn|King Shelter|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Opening Book|Passed Pawn|Pawn Hash Table|Pondering|Principal Variation Search|Quiescence Search|Razoring|Rook on Open File|Rook Semi-Open File|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,minimax,rich_eval,high,0x88__minimax__rich_eval,0.239,mid,PASS,stratified_mid
stratified_variant_98,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_98.json,29,0x88|Alpha-Beta|Aspiration Windows|Castling|Copy-Make|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Killer Heuristic|King Activity|King Shelter|Legal Move Generation|Make Move|Minimax|Mobility|Move Generation|Move Ordering|Null Move Pruning|Opening Book|Pondering|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move,0x88,minimax,rich_eval,medium,0x88__minimax__rich_eval,0.373,slow,PASS,stratified_slow
stratified_variant_28,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_28.json,27,0x88|Alpha-Beta|Castling|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Null Move Pruning|Piece Lists|Piece-Square Tables|Pondering|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Threefold Repetition|UCI|Unmake Move,0x88,minimax,structural_eval,medium,0x88__minimax__structural_eval,0.229,mid,PASS,stratified_mid
stratified_variant_81,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_81.json,21,0x88|Bishop Pair|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Isolated Pawn|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Quiescence Search|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.211,fast,PASS,stratified_fast
stratified_variant_26,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_26.json,25,0x88|Castling|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|History Heuristic|Iterative Deepening|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Quiescence Search|Rook on Open File|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.223,mid,PASS,stratified_mid
stratified_variant_65,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_65.json,28,0x88|Castling|Connected Pawn|Copy-Make|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Iterative Deepening|Killer Heuristic|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Razoring|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,negamax,rich_eval,medium,0x88__negamax__rich_eval,0.251,slow,PASS,stratified_slow
stratified_variant_87,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_87.json,26,0x88|Alpha-Beta|Castling|Delta Pruning|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Negamax|Opening Book|Passed Pawn|Piece Lists|Piece-Square Tables|Principal Variation Search|Quiescence Search|Tapered Eval|Threefold Repetition|UCI|Unmake Move,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval,0.2,fast,PASS,stratified_fast
stratified_variant_38,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_38.json,29,0x88|Alpha-Beta|Bishop Pair|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|King Activity|King Pressure|Legal Move Generation|Make Move|Mobility|Move Generation|Negamax|Null Move Pruning|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Pseudo-Legal Move Generation|Quiescence Search|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,pruning_full,rich_eval,medium,0x88__pruning_full__rich_eval,0.223,mid,PASS,stratified_mid
stratified_variant_71,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_71.json,33,0x88|Alpha-Beta|Castling|Connected Pawn|Copy-Make|Delta Pruning|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Quiescence Search|Rook on Open File|Rook Semi-Open File|Static Exchange Evaluation|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,0x88,pruning_full,rich_eval,high,0x88__pruning_full__rich_eval,0.26,slow,PASS,stratified_slow
stratified_variant_92,random_sample,sampled,outputs/stratified_variant_experiment_n100_retry/sample_configs/stratified_variant_92.json,28,10x12 Board|Alpha-Beta|Aspiration Windows|Castling|Connected Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|King Pressure|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Null Move Pruning|Opening Book|Passed Pawn|Pawn Hash Table|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,alpha_beta,rich_eval,medium,10x12 Board__alpha_beta__rich_eval,0.202,fast,PASS,stratified_fast
